"subsample_ID","model","metric","value"
1,"Random Forest","balanced_accuracy",0.832091237579042
1,"Random Forest","roc_auc",0.917344173441734
1,"Random Forest","pr_auc",0.380155638571214
1,"Random Forest","f1",0.344370860927152
1,"Random Forest","recall",0.962962962962963
1,"Random Forest","precision",0.209677419354839
1,"Random Forest","specificity",0.701219512195122
1,"Random Forest","mcc",0.369308568221275
1,"SBM","balanced_accuracy",0.696420505871725
1,"SBM","roc_auc",0.796296296296296
1,"SBM","pr_auc",0.32808017592585
1,"SBM","f1",0.216666666666667
1,"SBM","recall",0.962962962962963
1,"SBM","precision",0.122065727699531
1,"SBM","specificity",0.429878048780488
1,"SBM","mcc",0.212569842570603
1,"Matching_Centrality","balanced_accuracy",0.717987804878049
1,"Matching_Centrality","roc_auc",0.910456187895212
1,"Matching_Centrality","pr_auc",0.31139658092887
1,"Matching_Centrality","f1",0.225941422594142
1,"Matching_Centrality","recall",1
1,"Matching_Centrality","precision",0.127358490566038
1,"Matching_Centrality","specificity",0.435975609756098
1,"Matching_Centrality","mcc",0.235637848365123
1,"TLP","balanced_accuracy",0.765808491418247
1,"TLP","roc_auc",0.911359530261969
1,"TLP","pr_auc",0.381574086507412
1,"TLP","f1",0.507936507936508
1,"TLP","recall",0.592592592592593
1,"TLP","precision",0.444444444444444
1,"TLP","specificity",0.939024390243902
1,"TLP","mcc",0.466843222609248
3,"Random Forest","balanced_accuracy",0.684638554216867
3,"Random Forest","roc_auc",0.863885542168675
3,"Random Forest","pr_auc",0.330109681604322
3,"Random Forest","f1",0.1875
3,"Random Forest","recall",0.45
3,"Random Forest","precision",0.118421052631579
3,"Random Forest","specificity",0.919277108433735
3,"Random Forest","mcc",0.19616844703826
3,"SBM","balanced_accuracy",0.531325301204819
3,"SBM","roc_auc",0.622048192771084
3,"SBM","pr_auc",0.321761091788671
3,"SBM","f1",0.0538116591928251
3,"SBM","recall",0.3
3,"SBM","precision",0.0295566502463054
3,"SBM","specificity",0.762650602409639
3,"SBM","mcc",0.0222730214846474
3,"Matching_Centrality","balanced_accuracy",0.716867469879518
3,"Matching_Centrality","roc_auc",0.809759036144578
3,"Matching_Centrality","pr_auc",0.311129813315985
3,"Matching_Centrality","f1",0.109803921568627
3,"Matching_Centrality","recall",0.7
3,"Matching_Centrality","precision",0.0595744680851064
3,"Matching_Centrality","specificity",0.733734939759036
3,"Matching_Centrality","mcc",0.146996489543721
3,"TLP","balanced_accuracy",0.791867469879518
3,"TLP","roc_auc",0.875210843373494
3,"TLP","pr_auc",0.330109681604322
3,"TLP","f1",0.173410404624277
3,"TLP","recall",0.75
3,"TLP","precision",0.0980392156862745
3,"TLP","specificity",0.833734939759036
3,"TLP","mcc",0.230307260043617
5,"Random Forest","balanced_accuracy",0.565749235474006
5,"Random Forest","roc_auc",0.715086646279307
5,"Random Forest","pr_auc",0.380355281432981
5,"Random Forest","f1",0.176470588235294
5,"Random Forest","recall",0.333333333333333
5,"Random Forest","precision",0.12
5,"Random Forest","specificity",0.798165137614679
5,"Random Forest","mcc",0.0854168847156982
5,"SBM","balanced_accuracy",0.377675840978593
5,"SBM","roc_auc",0.661060142711519
5,"SBM","pr_auc",0.320457704971919
5,"SBM","f1",0.08
5,"SBM","recall",0.333333333333333
5,"SBM","precision",0.0454545454545455
5,"SBM","specificity",0.422018348623853
5,"SBM","mcc",-0.13079860086793
5,"Matching_Centrality","balanced_accuracy",0.613659531090724
5,"Matching_Centrality","roc_auc",0.677879714576962
5,"Matching_Centrality","pr_auc",0.321018513332925
5,"Matching_Centrality","f1",0.184210526315789
5,"Matching_Centrality","recall",0.777777777777778
5,"Matching_Centrality","precision",0.104477611940299
5,"Matching_Centrality","specificity",0.44954128440367
5,"Matching_Centrality","mcc",0.121800163130032
5,"TLP","balanced_accuracy",0.611620795107034
5,"TLP","roc_auc",0.711009174311927
5,"TLP","pr_auc",0.380355281432981
5,"TLP","f1",0.25
5,"TLP","recall",0.333333333333333
5,"TLP","precision",0.2
5,"TLP","specificity",0.889908256880734
5,"TLP","mcc",0.177887474444729
7,"Random Forest","balanced_accuracy",0.620084269662921
7,"Random Forest","roc_auc",0.618679775280899
7,"Random Forest","pr_auc",0.386102191094195
7,"Random Forest","f1",0.260869565217391
7,"Random Forest","recall",0.375
7,"Random Forest","precision",0.2
7,"Random Forest","specificity",0.865168539325843
7,"Random Forest","mcc",0.182727350814113
7,"SBM","balanced_accuracy",0.418539325842697
7,"SBM","roc_auc",0.48876404494382
7,"SBM","pr_auc",0.310918043962667
7,"SBM","f1",0.112676056338028
7,"SBM","recall",0.5
7,"SBM","precision",0.0634920634920635
7,"SBM","specificity",0.337078651685393
7,"SBM","mcc",-0.093930851467309
7,"Matching_Centrality","balanced_accuracy",0.544241573033708
7,"Matching_Centrality","roc_auc",0.64185393258427
7,"Matching_Centrality","pr_auc",0.309193755238895
7,"Matching_Centrality","f1",0.164705882352941
7,"Matching_Centrality","recall",0.875
7,"Matching_Centrality","precision",0.0909090909090909
7,"Matching_Centrality","specificity",0.213483146067416
7,"Matching_Centrality","mcc",0.0601644834299629
7,"TLP","balanced_accuracy",0.5
7,"TLP","roc_auc",0.542837078651685
7,"TLP","pr_auc",0.386102191094195
7,"TLP","f1",0
7,"TLP","recall",0
7,"TLP","precision",0
7,"TLP","specificity",1
7,"TLP","mcc",0
9,"Random Forest","balanced_accuracy",0.656643356643357
9,"Random Forest","roc_auc",0.711888111888112
9,"Random Forest","pr_auc",0.381973449908163
9,"Random Forest","f1",0.233333333333333
9,"Random Forest","recall",0.636363636363636
9,"Random Forest","precision",0.142857142857143
9,"Random Forest","specificity",0.676923076923077
9,"Random Forest","mcc",0.176448528778214
9,"SBM","balanced_accuracy",0.496503496503496
9,"SBM","roc_auc",0.58041958041958
9,"SBM","pr_auc",0.365675023985544
9,"SBM","f1",0.131578947368421
9,"SBM","recall",0.454545454545455
9,"SBM","precision",0.0769230769230769
9,"SBM","specificity",0.538461538461538
9,"SBM","mcc",-0.00376243067726553
9,"Matching_Centrality","balanced_accuracy",0.481118881118881
9,"Matching_Centrality","roc_auc",0.502097902097902
9,"Matching_Centrality","pr_auc",0.347227297079543
9,"Matching_Centrality","f1",0.125
9,"Matching_Centrality","recall",0.454545454545455
9,"Matching_Centrality","precision",0.072463768115942
9,"Matching_Centrality","specificity",0.507692307692308
9,"Matching_Centrality","mcc",-0.0202597903767852
9,"TLP","balanced_accuracy",0.520979020979021
9,"TLP","roc_auc",0.632867132867133
9,"TLP","pr_auc",0.381973449908163
9,"TLP","f1",0.136363636363636
9,"TLP","recall",0.272727272727273
9,"TLP","precision",0.0909090909090909
9,"TLP","specificity",0.769230769230769
9,"TLP","mcc",0.0265775157365766
11,"Random Forest","balanced_accuracy",0.636093073593074
11,"Random Forest","roc_auc",0.789637445887446
11,"Random Forest","pr_auc",0.433336966549174
11,"Random Forest","f1",0.308943089430894
11,"Random Forest","recall",0.791666666666667
11,"Random Forest","precision",0.191919191919192
11,"Random Forest","specificity",0.480519480519481
11,"Random Forest","mcc",0.187111662059499
11,"SBM","balanced_accuracy",0.560335497835498
11,"SBM","roc_auc",0.684794372294372
11,"SBM","pr_auc",0.312324614059053
11,"SBM","f1",0.261363636363636
11,"SBM","recall",0.958333333333333
11,"SBM","precision",0.151315789473684
11,"SBM","specificity",0.162337662337662
11,"SBM","mcc",0.11669719291971
11,"Matching_Centrality","balanced_accuracy",0.652597402597403
11,"Matching_Centrality","roc_auc",0.831439393939394
11,"Matching_Centrality","pr_auc",0.313390769510194
11,"Matching_Centrality","f1",0.309677419354839
11,"Matching_Centrality","recall",1
11,"Matching_Centrality","precision",0.183206106870229
11,"Matching_Centrality","specificity",0.305194805194805
11,"Matching_Centrality","mcc",0.236460466244906
11,"TLP","balanced_accuracy",0.718885281385281
11,"TLP","roc_auc",0.831304112554113
11,"TLP","pr_auc",0.433336966549174
11,"TLP","f1",0.490566037735849
11,"TLP","recall",0.541666666666667
11,"TLP","precision",0.448275862068966
11,"TLP","specificity",0.896103896103896
11,"TLP","mcc",0.404874479639731
13,"Random Forest","balanced_accuracy",0.816353260361119
13,"Random Forest","roc_auc",0.881654036860324
13,"Random Forest","pr_auc",0.345710622046802
13,"Random Forest","f1",0.265625
13,"Random Forest","recall",0.80952380952381
13,"Random Forest","precision",0.158878504672897
13,"Random Forest","specificity",0.823182711198428
13,"Random Forest","mcc",0.307474268068176
13,"SBM","balanced_accuracy",0.613551314435401
13,"SBM","roc_auc",0.679705772289269
13,"SBM","pr_auc",0.33313246400377
13,"SBM","f1",0.11134903640257
13,"SBM","recall",0.619047619047619
13,"SBM","precision",0.0611764705882353
13,"SBM","specificity",0.608055009823183
13,"SBM","mcc",0.0903939507486633
13,"Matching_Centrality","balanced_accuracy",0.790415380297502
13,"Matching_Centrality","roc_auc",0.850851342501637
13,"Matching_Centrality","pr_auc",0.313539713428521
13,"Matching_Centrality","f1",0.179310344827586
13,"Matching_Centrality","recall",0.928571428571429
13,"Matching_Centrality","precision",0.099236641221374
13,"Matching_Centrality","specificity",0.652259332023576
13,"Matching_Centrality","mcc",0.234578902702119
13,"TLP","balanced_accuracy",0.634133221068388
