"subsample_ID","model","metric","value"
9,"Random Forest","pr_auc",0.381973449908163
9,"Random Forest","f1",0.195121951219512
9,"Random Forest","recall",0.363636363636364
9,"Random Forest","precision",0.133333333333333
9,"Random Forest","specificity",0.8
9,"Random Forest","mcc",0.107232324878142
9,"SBM","balanced_accuracy",0.583566433566434
9,"SBM","roc_auc",0.576223776223776
9,"SBM","pr_auc",0.351661154791093
9,"SBM","f1",0.177215189873418
9,"SBM","recall",0.636363636363636
9,"SBM","precision",0.102941176470588
9,"SBM","specificity",0.530769230769231
9,"SBM","mcc",0.089704451657713
9,"Matching_Centrality","balanced_accuracy",0.606643356643357
9,"Matching_Centrality","roc_auc",0.621328671328671
9,"Matching_Centrality","pr_auc",0.322122636387813
9,"Matching_Centrality","f1",0.191780821917808
9,"Matching_Centrality","recall",0.636363636363636
9,"Matching_Centrality","precision",0.112903225806452
9,"Matching_Centrality","specificity",0.576923076923077
9,"Matching_Centrality","mcc",0.115245089685861
9,"TLP","balanced_accuracy",0.646503496503496
9,"TLP","roc_auc",0.625174825174825
9,"TLP","pr_auc",0.381973449908163
9,"TLP","f1",0.27027027027027
9,"TLP","recall",0.454545454545455
9,"TLP","precision",0.192307692307692
9,"TLP","specificity",0.838461538461538
9,"TLP","mcc",0.202633110031192
11,"Random Forest","balanced_accuracy",0.700487012987013
11,"Random Forest","roc_auc",0.799648268398268
11,"Random Forest","pr_auc",0.433336966549174
11,"Random Forest","f1",0.355932203389831
11,"Random Forest","recall",0.875
11,"Random Forest","precision",0.223404255319149
11,"Random Forest","specificity",0.525974025974026
11,"Random Forest","mcc",0.274333378842977
11,"SBM","balanced_accuracy",0.625270562770563
11,"SBM","roc_auc",0.791396103896104
11,"SBM","pr_auc",0.323698640781959
11,"SBM","f1",0.294871794871795
11,"SBM","recall",0.958333333333333
11,"SBM","precision",0.174242424242424
11,"SBM","specificity",0.292207792207792
11,"SBM","mcc",0.195469554865446
11,"Matching_Centrality","balanced_accuracy",0.686958874458874
11,"Matching_Centrality","roc_auc",0.783414502164502
11,"Matching_Centrality","pr_auc",0.323951305306398
11,"Matching_Centrality","f1",0.335766423357664
11,"Matching_Centrality","recall",0.958333333333333
11,"Matching_Centrality","precision",0.20353982300885
11,"Matching_Centrality","specificity",0.415584415584416
11,"Matching_Centrality","mcc",0.265244362205882
11,"TLP","balanced_accuracy",0.672619047619048
11,"TLP","roc_auc",0.795183982683983
11,"TLP","pr_auc",0.433336966549174
11,"TLP","f1",0.444444444444444
11,"TLP","recall",0.416666666666667
11,"TLP","precision",0.476190476190476
11,"TLP","specificity",0.928571428571429
11,"TLP","mcc",0.365531845860009
13,"Random Forest","balanced_accuracy",0.615211900084199
13,"Random Forest","roc_auc",0.711748058751988
13,"Random Forest","pr_auc",0.345710622046802
13,"Random Forest","f1",0.161290322580645
13,"Random Forest","recall",0.357142857142857
13,"Random Forest","precision",0.104166666666667
13,"Random Forest","specificity",0.87328094302554
13,"Random Forest","mcc",0.131188838226864
13,"SBM","balanced_accuracy",0.657124146318645
13,"SBM","roc_auc",0.681179249695949
13,"SBM","pr_auc",0.337839627053968
13,"SBM","f1",0.127753303964758
13,"SBM","recall",0.69047619047619
13,"SBM","precision",0.0703883495145631
13,"SBM","specificity",0.6237721021611
13,"SBM","mcc",0.12575792126545
13,"Matching_Centrality","balanced_accuracy",0.64412012349144
13,"Matching_Centrality","roc_auc",0.652656937038077
13,"Matching_Centrality","pr_auc",0.323571066527465
13,"Matching_Centrality","f1",0.125581395348837
13,"Matching_Centrality","recall",0.642857142857143
13,"Matching_Centrality","precision",0.0695876288659794
13,"Matching_Centrality","specificity",0.645383104125737
13,"Matching_Centrality","mcc",0.116721982706102
13,"TLP","balanced_accuracy",0.585531855178221
13,"TLP","roc_auc",0.714648236504818
13,"TLP","pr_auc",0.37746014983325
13,"TLP","f1",0.189473684210526
13,"TLP","recall",0.214285714285714
13,"TLP","precision",0.169811320754717
13,"TLP","specificity",0.956777996070727
13,"TLP","mcc",0.153110068829422
15,"Random Forest","balanced_accuracy",0.719480209823558
15,"Random Forest","roc_auc",0.731759656652361
15,"Random Forest","pr_auc",0.37611125991011
15,"Random Forest","f1",0.268041237113402
15,"Random Forest","recall",0.722222222222222
15,"Random Forest","precision",0.164556962025316
15,"Random Forest","specificity",0.716738197424893
15,"Random Forest","mcc",0.243871924975312
15,"SBM","balanced_accuracy",0.629232236528374
15,"SBM","roc_auc",0.692298521697663
15,"SBM","pr_auc",0.332321845039704
15,"SBM","f1",0.183006535947712
15,"SBM","recall",0.777777777777778
15,"SBM","precision",0.103703703703704
15,"SBM","specificity",0.48068669527897
15,"SBM","mcc",0.133757822557678
15,"Matching_Centrality","balanced_accuracy",0.567238912732475
15,"Matching_Centrality","roc_auc",0.607057701478302
15,"Matching_Centrality","pr_auc",0.323140402872415
15,"Matching_Centrality","f1",0.155844155844156
15,"Matching_Centrality","recall",0.666666666666667
15,"Matching_Centrality","precision",0.0882352941176471
15,"Matching_Centrality","specificity",0.467811158798283
15,"Matching_Centrality","mcc",0.0696380363746503
15,"TLP","balanced_accuracy",0.679184549356223
15,"TLP","roc_auc",0.74415832141154
15,"TLP","pr_auc",0.37611125991011
15,"TLP","f1",0.3
15,"TLP","recall",0.5
15,"TLP","precision",0.214285714285714
15,"TLP","specificity",0.858369098712446
15,"TLP","mcc",0.247711962064839
17,"Random Forest","balanced_accuracy",0.709850993377483
17,"Random Forest","roc_auc",0.723923841059603
17,"Random Forest","pr_auc",0.355942429636578
17,"Random Forest","f1",0.227272727272727
17,"Random Forest","recall",0.625
17,"Random Forest","precision",0.138888888888889
17,"Random Forest","specificity",0.794701986754967
17,"Random Forest","mcc",0.219215211109003
17,"SBM","balanced_accuracy",0.481788079470199
17,"SBM","roc_auc",0.531870860927152
17,"SBM","pr_auc",0.335821895944493
17,"SBM","f1",0.0860215053763441
17,"SBM","recall",0.5
17,"SBM","precision",0.0470588235294118
17,"SBM","specificity",0.463576158940397
17,"SBM","mcc",-0.0159622418477121
17,"Matching_Centrality","balanced_accuracy",0.498758278145695
17,"Matching_Centrality","roc_auc",0.492549668874172
17,"Matching_Centrality","pr_auc",0.338729332961167
17,"Matching_Centrality","f1",0.0882352941176471
17,"Matching_Centrality","recall",0.375
17,"Matching_Centrality","precision",0.05
17,"Matching_Centrality","specificity",0.622516556291391
17,"Matching_Centrality","mcc",-0.00111993950698134
17,"TLP","balanced_accuracy",0.618377483443709
17,"TLP","roc_auc",0.661837748344371
17,"TLP","pr_auc",0.394547117828121
17,"TLP","f1",0.333333333333333
17,"TLP","recall",0.25
17,"TLP","precision",0.5
17,"TLP","specificity",0.986754966887417
17,"TLP","mcc",0.330473561798923
19,"Random Forest","balanced_accuracy",0.518604651162791
19,"Random Forest","roc_auc",0.488372093023256
19,"Random Forest","pr_auc",0.360341504391041
19,"Random Forest","f1",0.1
19,"Random Forest","recall",0.2
19,"Random Forest","precision",0.0666666666666667
19,"Random Forest","specificity",0.837209302325581
19,"Random Forest","mcc",0.0228524795616017
19,"SBM","balanced_accuracy",0.502325581395349
19,"SBM","roc_auc",0.493023255813954
19,"SBM","pr_auc",0.325783119743376
19,"SBM","f1",0.0975609756097561
19,"SBM","recall",0.4
19,"SBM","precision",0.0555555555555556
19,"SBM","specificity",0.604651162790698
19,"SBM","mcc",0.00216752029587452
19,"Matching_Centrality","balanced_accuracy",0.391860465116279
19,"Matching_Centrality","roc_auc",0.546511627906977
19,"Matching_Centrality","pr_auc",0.3182053748984
19,"Matching_Centrality","f1",0.0666666666666667
19,"Matching_Centrality","recall",0.4
19,"Matching_Centrality","precision",0.0363636363636364
19,"Matching_Centrality","specificity",0.383720930232558
19,"Matching_Centrality","mcc",-0.100789693758165
19,"TLP","balanced_accuracy",0.588372093023256
19,"TLP","roc_auc",0.52093023255814
19,"TLP","pr_auc",0.371932000822314
19,"TLP","f1",0.25
19,"TLP","recall",0.2
19,"TLP","precision",0.333333333333333
19,"TLP","specificity",0.976744186046512
19,"TLP","mcc",0.225567954381142
21,"Random Forest","balanced_accuracy",0.606148798814689
21,"Random Forest","roc_auc",0.671023388718383
21,"Random Forest","pr_auc",0.331517746920861
21,"Random Forest","f1",0.1
21,"Random Forest","recall",0.363636363636364
21,"Random Forest","precision",0.0579710144927536
21,"Random Forest","specificity",0.848661233993015
21,"Random Forest","mcc",0.0911421044122125
21,"SBM","balanced_accuracy",0.45298444279818
21,"SBM","roc_auc",0.581146153032067
21,"SBM","pr_auc",0.357276546985737
21,"SBM","f1",0.033003300330033
21,"SBM","recall",0.227272727272727
21,"SBM","precision",0.0177935943060498
21,"SBM","specificity",0.678696158323632
21,"SBM","mcc",-0.0314811595443848
21,"Matching_Centrality","balanced_accuracy",0.504788866546725
21,"Matching_Centrality","roc_auc",0.541115461953646
21,"Matching_Centrality","pr_auc",0.339274892635263
21,"Matching_Centrality","f1",0.0467289719626168
21,"Matching_Centrality","recall",0.227272727272727
21,"Matching_Centrality","precision",0.0260416666666667
21,"Matching_Centrality","specificity",0.782305005820722
21,"Matching_Centrality","mcc",0.00362001547632325
21,"TLP","balanced_accuracy",0.501825590009525
21,"TLP","roc_auc",0.574240660387343
21,"TLP","pr_auc",0.331517746920861
21,"TLP","f1",0.0431654676258993
21,"TLP","recall",0.136363636363636
21,"TLP","precision",0.0256410256410256
21,"TLP","specificity",0.867287543655413
21,"TLP","mcc",0.00167881004168607
23,"Random Forest","balanced_accuracy",0.547900262467192
23,"Random Forest","roc_auc",0.77755905511811
23,"Random Forest","pr_auc",0.350977624348993
23,"Random Forest","f1",0.125
23,"Random Forest","recall",0.166666666666667
23,"Random Forest","precision",0.1
23,"Random Forest","specificity",0.929133858267717
23,"Random Forest","mcc",0.0754037281011544
23,"SBM","balanced_accuracy",0.636482939632546
23,"SBM","roc_auc",0.607119422572178
23,"SBM","pr_auc",0.353023436493613
23,"SBM","f1",0.133333333333333
23,"SBM","recall",0.666666666666667
23,"SBM","precision",0.0740740740740741
23,"SBM","specificity",0.606299212598425
23,"SBM","mcc",0.1153653594949
23,"Matching_Centrality","balanced_accuracy",0.586614173228347
23,"Matching_Centrality","roc_auc",0.553805774278215
