"model","feature","feature_bin","total","correct","proportion_correct"
"ML_single","degree_HL",1,30445,29381,0.965051732632616
"ML_single","degree_HL",2,30445,29664,0.974347183445558
"ML_single","degree_HL",3,30444,29319,0.963046905794245
"ML_single","degree_HL",4,30445,27450,0.901625882739366
"ML_single","degree_HL",5,30445,24218,0.795467235999343
"ML_single","degree_HL",6,30444,23905,0.785212192878728
"ML_single","degree_LL",1,30445,30076,0.987879783215635
"ML_single","degree_LL",2,30445,29980,0.984726556084743
"ML_single","degree_LL",3,30444,28982,0.951977401129944
"ML_single","degree_LL",4,30445,27851,0.914797175234029
"ML_single","degree_LL",5,30445,25838,0.848677943833142
"ML_single","degree_LL",6,30444,21210,0.696689002759164
"ML_single","friends_measure",1,30445,29650,0.973887337822303
"ML_single","friends_measure",2,30445,29810,0.979142716373789
"ML_single","friends_measure",3,30444,29518,0.969583497569308
"ML_single","friends_measure",4,30445,28443,0.934242075874528
"ML_single","friends_measure",5,30445,26402,0.867203153227131
"ML_single","friends_measure",6,30444,20114,0.660688477204047
"ML_single","pagerank_HL",1,30445,29309,0.962686812284447
"ML_single","pagerank_HL",2,30445,28035,0.920840860568238
"ML_single","pagerank_HL",3,30444,28027,0.920608330048614
"ML_single","pagerank_HL",4,30445,27498,0.903202496304812
"ML_single","pagerank_HL",5,30445,26342,0.865232386270324
"ML_single","pagerank_HL",6,30444,24726,0.812179739850217
"ML_single","pagerank_LL",1,30445,30024,0.986171785186402
"ML_single","pagerank_LL",2,30445,29028,0.9534570537034
"ML_single","pagerank_LL",3,30444,27919,0.917060833004861
"ML_single","pagerank_LL",4,30445,27166,0.892297585810478
"ML_single","pagerank_LL",5,30445,25765,0.846280177369026
"ML_single","pagerank_LL",6,30444,24035,0.789482328209171
"ML_single","preferential_attachment",1,30445,29928,0.98301855805551
"ML_single","preferential_attachment",2,30445,30374,0.997667925767778
"ML_single","preferential_attachment",3,30444,30094,0.988503481802654
"ML_single","preferential_attachment",4,30445,28895,0.949088520282477
"ML_single","preferential_attachment",5,30445,26112,0.857677779602562
"ML_single","preferential_attachment",6,30444,18534,0.608789909341742
"ML_single","shortest_path_length",1,30445,29769,0.97779602561997
"ML_single","shortest_path_length",2,30445,26023,0.854754475283298
"ML_single","shortest_path_length",3,30444,26353,0.865622125870451
"ML_single","shortest_path_length",4,30445,26846,0.881786828707505
"ML_single","shortest_path_length",5,30445,25503,0.837674494990967
"ML_single","shortest_path_length",6,30444,29443,0.967119957955591
"Matching_Centrality","degree_HL",1,30444,26922,0.88431217973985
"Matching_Centrality","degree_HL",2,30445,22318,0.733059615700443
"Matching_Centrality","degree_HL",3,30445,22060,0.724585317786172
"Matching_Centrality","degree_HL",4,30445,18262,0.599835769420266
"Matching_Centrality","degree_HL",5,30444,14462,0.475036131914335
"Matching_Centrality","degree_HL",6,30445,8222,0.270060765314502
"Matching_Centrality","degree_LL",1,30444,25325,0.831855209565103
"Matching_Centrality","degree_LL",2,30445,23932,0.786073246838561
"Matching_Centrality","degree_LL",3,30445,21186,0.695877812448678
"Matching_Centrality","degree_LL",4,30445,18558,0.609558219740516
"Matching_Centrality","degree_LL",5,30444,14186,0.465970306135856
"Matching_Centrality","degree_LL",6,30445,9059,0.297552964361964
"Matching_Centrality","friends_measure",1,30444,26824,0.881093154644593
"Matching_Centrality","friends_measure",2,30445,26612,0.874100837575957
"Matching_Centrality","friends_measure",3,30445,22194,0.728986697323042
"Matching_Centrality","friends_measure",4,30445,18045,0.592708162259813
"Matching_Centrality","friends_measure",5,30444,12905,0.42389304953357
"Matching_Centrality","friends_measure",6,30445,5666,0.186106092954508
"Matching_Centrality","pagerank_HL",1,30444,27257,0.895315990014453
"Matching_Centrality","pagerank_HL",2,30445,23698,0.778387255707013
"Matching_Centrality","pagerank_HL",3,30445,20464,0.672162916735096
"Matching_Centrality","pagerank_HL",4,30445,17862,0.58669732304155
"Matching_Centrality","pagerank_HL",5,30444,14572,0.478649323347786
"Matching_Centrality","pagerank_HL",6,30445,8393,0.275677451141403
"Matching_Centrality","pagerank_LL",1,30444,23423,0.76937984496124
"Matching_Centrality","pagerank_LL",2,30445,23895,0.78485794054853
"Matching_Centrality","pagerank_LL",3,30445,21756,0.714600098538348
"Matching_Centrality","pagerank_LL",4,30445,19497,0.640400722614551
"Matching_Centrality","pagerank_LL",5,30444,16231,0.533142819603206
"Matching_Centrality","pagerank_LL",6,30445,7444,0.244506487107899
"Matching_Centrality","preferential_attachment",1,30444,30440,0.999868611220602
"Matching_Centrality","preferential_attachment",2,30445,29676,0.974741336836919
"Matching_Centrality","preferential_attachment",3,30445,23343,0.766726884545902
"Matching_Centrality","preferential_attachment",4,30445,15393,0.505600262768928
"Matching_Centrality","preferential_attachment",5,30444,9495,0.311884115096571
"Matching_Centrality","preferential_attachment",6,30445,3899,0.128067006076531
"Matching_Centrality","shortest_path_length",1,30444,28397,0.932761792142951
"Matching_Centrality","shortest_path_length",2,30445,15514,0.509574642798489
"Matching_Centrality","shortest_path_length",3,30445,14990,0.492363278042372
"Matching_Centrality","shortest_path_length",4,30445,14937,0.490622433897192
"Matching_Centrality","shortest_path_length",5,30444,15116,0.496518197345947
"Matching_Centrality","shortest_path_length",6,30445,23292,0.765051732632616
"Random Forest (all types)","degree_HL",1,30445,28617,0.939957300049269
"Random Forest (all types)","degree_HL",2,30445,29841,0.980160945968139
"Random Forest (all types)","degree_HL",3,30445,28823,0.946723599934308
"Random Forest (all types)","degree_HL",4,30444,24979,0.820490080147155
"Random Forest (all types)","degree_HL",5,30445,22081,0.725275086221054
"Random Forest (all types)","degree_HL",6,30444,19532,0.641571409801603
"Random Forest (all types)","degree_LL",1,30445,29101,0.955854820167515
"Random Forest (all types)","degree_LL",2,30445,30005,0.985547708983413
"Random Forest (all types)","degree_LL",3,30445,27323,0.897454426014124
"Random Forest (all types)","degree_LL",4,30444,25408,0.834581526737617
