"model","feature","feature_bin","total","correct","proportion_correct"
"Random Forest (all types)","degree_LL",5,30445,22955,0.753982591558548
"Random Forest (all types)","degree_LL",6,30444,19081,0.626757324924451
"Random Forest (all types)","friends_measure",1,30445,28664,0.941501067498768
"Random Forest (all types)","friends_measure",2,30445,28312,0.929939234685498
"Random Forest (all types)","friends_measure",3,30445,29046,0.954048283790442
"Random Forest (all types)","friends_measure",4,30444,27699,0.909834450137958
"Random Forest (all types)","friends_measure",5,30445,24527,0.805616685826901
"Random Forest (all types)","friends_measure",6,30444,15625,0.513237419524373
"Random Forest (all types)","pagerank_HL",1,30445,28983,0.951978978485794
"Random Forest (all types)","pagerank_HL",2,30445,28393,0.932599770077188
"Random Forest (all types)","pagerank_HL",3,30445,27666,0.908720643783873
"Random Forest (all types)","pagerank_HL",4,30444,26259,0.862534489554592
"Random Forest (all types)","pagerank_HL",5,30445,23626,0.776022335358844
"Random Forest (all types)","pagerank_HL",6,30444,18946,0.622322953619761
"Random Forest (all types)","pagerank_LL",1,30445,28314,0.930004926917392
"Random Forest (all types)","pagerank_LL",2,30445,28736,0.943865987846937
"Random Forest (all types)","pagerank_LL",3,30445,27621,0.907242568566267
"Random Forest (all types)","pagerank_LL",4,30444,25890,0.850413874655104
"Random Forest (all types)","pagerank_LL",5,30445,23810,0.782066020693053
"Random Forest (all types)","pagerank_LL",6,30444,19502,0.640585993956116
"Random Forest (all types)","preferential_attachment",1,30445,27829,0.914074560683199
"Random Forest (all types)","preferential_attachment",2,30445,30445,1
"Random Forest (all types)","preferential_attachment",3,30445,30230,0.99293808507144
"Random Forest (all types)","preferential_attachment",4,30444,28405,0.933024569701748
"Random Forest (all types)","preferential_attachment",5,30445,23912,0.785416324519626
"Random Forest (all types)","preferential_attachment",6,30444,13052,0.428721587176455
"Random Forest (all types)","shortest_path_length",1,30445,27659,0.908490720972245
"Random Forest (all types)","shortest_path_length",2,30445,25026,0.822006897684349
"Random Forest (all types)","shortest_path_length",3,30445,24000,0.788306782722943
"Random Forest (all types)","shortest_path_length",4,30444,24260,0.796872947050322
"Random Forest (all types)","shortest_path_length",5,30445,24172,0.793956314665791
"Random Forest (all types)","shortest_path_length",6,30444,28756,0.944553935093943
"SBM","degree_HL",1,30445,23953,0.786763015273444
"SBM","degree_HL",2,30444,16688,0.548153987649455
"SBM","degree_HL",3,30445,16729,0.549482673673838
"SBM","degree_HL",4,30445,15305,0.50270980456561
"SBM","degree_HL",5,30444,15322,0.503284719484956
"SBM","degree_HL",6,30445,13039,0.428280505830186
"SBM","degree_LL",1,30445,22389,0.735391689932665
"SBM","degree_LL",2,30444,17419,0.572165287084483
"SBM","degree_LL",3,30445,16842,0.553194284775825
"SBM","degree_LL",4,30445,16476,0.5411726063393
"SBM","degree_LL",5,30444,15680,0.515044015241098
"SBM","degree_LL",6,30445,12230,0.401707998029233
"SBM","friends_measure",1,30445,25073,0.823550665133848
"SBM","friends_measure",2,30444,24380,0.800814610432269
"SBM","friends_measure",3,30445,16388,0.538282148135983
"SBM","friends_measure",4,30445,14153,0.464871078994909
"SBM","friends_measure",5,30444,12341,0.405367231638418
"SBM","friends_measure",6,30445,8701,0.285794054853014
"SBM","pagerank_HL",1,30445,24499,0.804696994580391
"SBM","pagerank_HL",2,30444,19061,0.62610038102746
"SBM","pagerank_HL",3,30445,16185,0.531614386598785
"SBM","pagerank_HL",4,30445,14986,0.492231893578584
"SBM","pagerank_HL",5,30444,13823,0.454046774405466
"SBM","pagerank_HL",6,30445,12482,0.409985219247824
"SBM","pagerank_LL",1,30445,22306,0.732665462309082
"SBM","pagerank_LL",2,30444,18980,0.623439758244646
"SBM","pagerank_LL",3,30445,17223,0.565708654951552
"SBM","pagerank_LL",4,30445,15846,0.520479553292823
"SBM","pagerank_LL",5,30444,14482,0.475693075811326
"SBM","pagerank_LL",6,30445,12199,0.400689768434883
"SBM","preferential_attachment",1,30445,28627,0.940285761208737
"SBM","preferential_attachment",2,30444,18218,0.598410195769281
"SBM","preferential_attachment",3,30445,16671,0.547577598948924
"SBM","preferential_attachment",4,30445,14736,0.484020364591887
"SBM","preferential_attachment",5,30444,12882,0.42313756405203
"SBM","preferential_attachment",6,30445,9902,0.325242240105108
"SBM","shortest_path_length",1,30445,27445,0.901461652159632
"SBM","shortest_path_length",2,30444,14695,0.482689528314282
"SBM","shortest_path_length",3,30445,12651,0.415536212842831
"SBM","shortest_path_length",4,30445,12801,0.42046313023485
"SBM","shortest_path_length",5,30444,12977,0.426258047562738
"SBM","shortest_path_length",6,30445,20467,0.672261455082936
