"community","ROC_auc","PR_auc"
"All",0.810594678654083,0.231634348326735
"Plant-Seed Dispersers",0.815945141648252,0.255783500082193
"Plant-Pollinator",0.797725001332745,0.170325568757345
"Plant-Herbivore",0.813676156377341,0.214935907347028
"Host-Parasite",0.814300671155459,0.301155895769177
