"fold","network","community","metric","value"
2,"A_PH_site04_period01_Martins","Plant-Herbivore","roc_auc",0.859271523178808
2,"A_PH_site04_period01_Martins","Plant-Herbivore","pr_auc",0.355942429636578
2,"A_PH_site04_period01_Martins","Plant-Herbivore","recall",0.25
2,"A_PH_site04_period01_Martins","Plant-Herbivore","precision",0.181818181818182
2,"A_PH_site04_period01_Martins","Plant-Herbivore","specificity",0.940397350993378
2,"A_PH_site04_period01_Martins","Plant-Herbivore","f1",0.210526315789474
2,"A_PH_site04_period01_Martins","Plant-Herbivore","balanced_accuracy",0.595198675496689
2,"A_PH_site04_period01_Martins","Plant-Herbivore","mcc",0.164008806635057
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","roc_auc",0.532558139534884
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","pr_auc",0.360341504391041
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","recall",0
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","precision",0
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","specificity",0.883720930232558
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","f1",0
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","balanced_accuracy",0.441860465116279
4,"A_PH_Macfadyen2009_plant-herb_B2","Plant-Herbivore","mcc",-0.0847214279625581
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","roc_auc",0.824637527780718
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","pr_auc",0.331517746920861
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","recall",0.409090909090909
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","precision",0.166666666666667
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","specificity",0.947613504074505
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","f1",0.236842105263158
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","balanced_accuracy",0.678352206582707
2,"M_SD_Purificacao_2014_forest_dry","Plant-Seed Dispersers","mcc",0.232042090869058
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","roc_auc",0.84251968503937
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","pr_auc",0.350977624348993
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","recall",0.333333333333333
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","precision",0.222222222222222
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","specificity",0.94488188976378
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","f1",0.266666666666667
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","balanced_accuracy",0.639107611548556
0,"M_PL_Orford_2016_Field-9","Plant-Pollinator","mcc",0.229893280712281
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","roc_auc",0.628246753246753
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","pr_auc",0.377948741123785
