"subsample_ID","model","metric","value"
1,"Random Forest","balanced_accuracy",0.742321589882565
1,"Random Forest","roc_auc",0.841915085817525
1,"Random Forest","pr_auc",0.380155638571214
1,"Random Forest","f1",0.305343511450382
1,"Random Forest","recall",0.740740740740741
1,"Random Forest","precision",0.192307692307692
1,"Random Forest","specificity",0.74390243902439
1,"Random Forest","mcc",0.282284725482766
1,"SBM","balanced_accuracy",0.584688346883469
1,"SBM","roc_auc",0.738313008130081
1,"SBM","pr_auc",0.316082248817347
1,"SBM","f1",0.167247386759582
1,"SBM","recall",0.888888888888889
1,"SBM","precision",0.0923076923076923
1,"SBM","specificity",0.280487804878049
1,"SBM","mcc",0.101420086937595
1,"Matching_Centrality","balanced_accuracy",0.694444444444444
1,"Matching_Centrality","roc_auc",0.816790876242096
1,"Matching_Centrality","pr_auc",0.316711507798588
1,"Matching_Centrality","f1",0.223255813953488
1,"Matching_Centrality","recall",0.888888888888889
1,"Matching_Centrality","precision",0.127659574468085
1,"Matching_Centrality","specificity",0.5
1,"Matching_Centrality","mcc",0.206541429565136
1,"TLP","balanced_accuracy",0.719625112917796
1,"TLP","roc_auc",0.807249322493225
1,"TLP","pr_auc",0.388495920054431
1,"TLP","f1",0.417910447761194
1,"TLP","recall",0.518518518518518
1,"TLP","precision",0.35
1,"TLP","specificity",0.920731707317073
1,"TLP","mcc",0.368252348185969
3,"Random Forest","balanced_accuracy",0.6
3,"Random Forest","roc_auc",0.775481927710843
3,"Random Forest","pr_auc",0.330109681604322
3,"Random Forest","f1",0.110091743119266
3,"Random Forest","recall",0.3
3,"Random Forest","precision",0.0674157303370786
3,"Random Forest","specificity",0.9
3,"Random Forest","mcc",0.0990140233322037
3,"SBM","balanced_accuracy",0.566265060240964
3,"SBM","roc_auc",0.516536144578313
3,"SBM","pr_auc",0.337616945915833
3,"SBM","f1",0.064
3,"SBM","recall",0.4
3,"SBM","precision",0.0347826086956522
3,"SBM","specificity",0.732530120481928
3,"SBM","mcc",0.0452177422590813
3,"Matching_Centrality","balanced_accuracy",0.600903614457831
3,"Matching_Centrality","roc_auc",0.545963855421687
3,"Matching_Centrality","pr_auc",0.32721970531307
3,"Matching_Centrality","f1",0.0765957446808511
3,"Matching_Centrality","recall",0.45
3,"Matching_Centrality","precision",0.0418604651162791
3,"Matching_Centrality","specificity",0.751807228915663
3,"Matching_Centrality","mcc",0.0703695332472107
3,"TLP","balanced_accuracy",0.658433734939759
3,"TLP","roc_auc",0.69933734939759
3,"TLP","pr_auc",0.330109681604322
3,"TLP","f1",0.10989010989011
3,"TLP","recall",0.5
3,"TLP","precision",0.0617283950617284
3,"TLP","specificity",0.816867469879518
3,"TLP","mcc",0.122286910719378
5,"Random Forest","balanced_accuracy",0.621304791029562
5,"Random Forest","roc_auc",0.793577981651376
5,"Random Forest","pr_auc",0.380355281432981
5,"Random Forest","f1",0.228571428571429
5,"Random Forest","recall",0.444444444444444
5,"Random Forest","precision",0.153846153846154
5,"Random Forest","specificity",0.798165137614679
5,"Random Forest","mcc",0.155368103912098
5,"SBM","balanced_accuracy",0.475535168195719
5,"SBM","roc_auc",0.571865443425077
5,"SBM","pr_auc",0.336588704693181
5,"SBM","f1",0.129032258064516
5,"SBM","recall",0.666666666666667
5,"SBM","precision",0.0714285714285714
5,"SBM","specificity",0.284403669724771
5,"SBM","mcc",-0.0286765982560496
5,"Matching_Centrality","balanced_accuracy",0.59480122324159
5,"Matching_Centrality","roc_auc",0.613149847094801
5,"Matching_Centrality","pr_auc",0.339462156331324
5,"Matching_Centrality","f1",0.17910447761194
5,"Matching_Centrality","recall",0.666666666666667
5,"Matching_Centrality","precision",0.103448275862069
5,"Matching_Centrality","specificity",0.522935779816514
5,"Matching_Centrality","mcc",0.10066739225666
5,"TLP","balanced_accuracy",0.5927624872579
5,"TLP","roc_auc",0.752803261977574
5,"TLP","pr_auc",0.393202610778878
5,"TLP","f1",0.266666666666667
5,"TLP","recall",0.222222222222222
5,"TLP","precision",0.333333333333333
5,"TLP","specificity",0.963302752293578
5,"TLP","mcc",0.224156970145244
7,"Random Forest","balanced_accuracy",0.580758426966292
7,"Random Forest","roc_auc",0.580758426966292
7,"Random Forest","pr_auc",0.386102191094195
7,"Random Forest","f1",0.2
7,"Random Forest","recall",0.375
7,"Random Forest","precision",0.136363636363636
7,"Random Forest","specificity",0.786516853932584
7,"Random Forest","mcc",0.106100119104972
