"community","average_clustering","bipartite_clustering","cent_between","cent_close","cent_eigen","compartment.diversity","connectance","connected_components","degree_assortativity_coefficient","edge_connectivity","Fisher.alpha","global_efficiency","H2","interaction.evenness","interactions_count","links.per.species","local_efficiency","nestedness","NODF","number.of.compartments","Shannon.diversity","network_size","species_ratio","Spectral_bipartivity","web.asymmetry","motif_1_norm","motif_2_norm","motif_3_norm","motif_4_norm","motif_5_norm","motif_6_norm","motif_7_norm","motif_8_norm","motif_9_norm","motif_10_norm","motif_11_norm","motif_12_norm","motif_13_norm","motif_14_norm","motif_15_norm","motif_16_norm","motif_17_norm"
"Plant-Seed Dispersers",0.289,0.193,0.364903196014588,0.298018438962225,0.833523509083797,NA,0.110766045548654,1,-0.3416,1,17847598523283132,0.3643,0,0.679865771742845,107,1.64615384615385,0,9.11864430386903,27.9208344019834,1,4.67282883446191,65,0.5476,1,-0.292307692307692,0.00291584913887072,0.00476891214301286,0.0127261826902115,0.0564911706998038,0.0556191410507957,0.00332461303684325,0.0078482668410726,0.224166121648136,0.291666666666667,0.103090255068672,0.0548016132548507,0.00291584913887072,0.107804665358622,0.0406311314584696,0.0187213865271419,0.000953782428602573,0.0115543928493569
"Plant-Pollinator",0.412,0.2242,0.609067612142131,0.441786417664989,0.827596076982332,NA,0.180645161290323,1,-0.5268,1,8589934620,0.415,0,0.70169980992029,56,1.36585365853659,0,13.3442804799435,38.5277777777778,1,4.02535169073515,41,0.3226,1,-0.51219512195122,0.00368033648790747,0.00341745531019979,0.0200446898002103,0.100289169295478,0.0400236593059937,0.00289169295478444,0.00374605678233438,0.412394847528917,0.226735015772871,0.0704521556256572,0.0419952681388013,0.00302313354363828,0.0515904311251314,0.00755783385909569,0.00847791798107255,0.000394321766561514,0.00328601472134595
"Plant-Pollinator",0.4008,0.2124,0.418397859229617,0.295785891934348,0.724053084611673,NA,0.260504201680672,1,-0.5519,1,2147483696.53226,0.4367,0,0.718539123216795,31,1.29166666666667,0,20.322550239598,39.7027600849257,1,3.43398720448515,24,0.4118,1,-0.416666666666667,0.0186746987951807,0.0162650602409639,0.0481927710843374,0.0933734939759036,0.107228915662651,0.0072289156626506,0.0114457831325301,0.139156626506024,0.224096385542169,0.13433734939759,0.0560240963855422,0.00180722891566265,0.0897590361445783,0.027710843373494,0.0192771084337349,0.00120481927710843,0.00421686746987952
"Plant-Seed Dispersers",0.2818,0.4214,0.196594398665227,0.374496881737309,0.62612675001608,NA,0.282828282828283,1,-0.282,1,8589934620,0.4615,0,0.761185406744954,56,1.93103448275862,0,20.5775098267129,47.3649267399267,1,4.02535169073515,29,0.6111,1,-0.241379310344828,0.00810185185185185,0.0160590277777778,0.0227141203703704,0.0431134259259259,0.0985243055555556,0.0179398148148148,0.0238715277777778,0.0590277777777778,0.169270833333333,0.10865162037037,0.109953703703704,0.0131655092592593,0.146701388888889,0.0520833333333333,0.0729166666666667,0.0118634259259259,0.0260416666666667
"Plant-Pollinator",0.3557,0.2622,0.275624662999526,0.284229758657124,0.764426358301728,NA,0.161616161616162,1,-0.5177,1,8589934624,0.3681,0,0.695300966706907,64,1.42222222222222,0,19.2779166675831,27.1922933034044,1,4.15888308335967,45,0.3636,1,-0.466666666666667,0.00783929446349829,0.00869671729544341,0.0275600195982362,0.0683488486036257,0.0854973052425282,0.00759431651151396,0.00881920627143557,0.121509064184223,0.245590396864282,0.170137187653111,0.0730034296913278,0.00649191572758452,0.104238118569329,0.0289073983341499,0.0279274865262126,0.00232729054385105,0.00551200391964723
"Plant-Seed Dispersers",0.4657,0.4436,0.540511107609097,0.457772170031789,0.788680084209991,NA,0.4,1,-0.7667,1,8589934630,0.4826,0,0.825369443846125,76,1.76744186046512,0,22.3116882225987,54.3774349384448,1,4.33073334028633,43,7.6,1,0.767441860465116,0.00132702414834733,0.0133924673918737,0.000925424735031691,0.000296834348972429,0.0195386845000087,0.00389376822475598,0.0983220128861029,3.49216881144034e-05,0.00537793996961813,0.00453981945487245,0.0040858375093852,0.000384138569258438,0.139232770512127,0.0623526741282674,0.0801452742225559,0.0131480155750729,0.553002392135636
"Host-Parasite",0.3011,0.4499,0.218408613617369,0.378904197233781,0.645507819729859,NA,0.252100840336134,1,-0.321,1,8589934637,0.4661,0,0.765568551801733,90,2.36842105263158,0,16.1179303815145,53.794934192333,1,4.49980967033027,38,0.8095,1,-0.105263157894737,0.00332042058660764,0.0112525364323925,0.0106991330012913,0.025050728647851,0.0700239808153477,0.0143147020844863,0.0345323741007194,0.0434237225604132,0.155285002767017,0.0746725696365984,0.0867736579966796,0.013761298653385,0.237373178380373,0.026378896882494,0.0853717026378897,0.0244973252167497,0.0832687695997048
"Host-Parasite",0.3911,0.3792,0.401635279216619,0.323140016082604,0.792026082225406,NA,0.169117647058824,1,-0.5273,1,8589934626.5,0.3943,0,0.704361723036698,69,1.5,0,14.5584560547287,36.7770436191489,1,4.23410650459726,46,2.8333,1,0.478260869565217,0.00345155319893952,0.0200090040518233,0.00320144064829173,0.00230103546595968,0.0435696063228453,0.00665299384723125,0.0962933319993997,0.00115051773297984,0.0313140913411035,0.0116552448601871,0.013706167775499,0.00155069781401631,0.228202691211045,0.0768845980691311,0.0900905407433345,0.0142063928767946,0.355760092041419
"Plant-Pollinator",0.4342,0.1245,0.311281690635694,0.312751317501701,0.810549225666893,NA,0.142424242424242,1,-0.6432,1,8589934639,0.3529,0,0.699803904002828,94,1.40298507462687,0,20.4703588215385,19.3360658254275,1,4.54329478227,67,0.2182,1,-0.641791044776119,0.0044757642129321,0.00342824492905438,0.0228549661936958,0.0893248262070279,0.0522331206551757,0.00185696600323779,0.00242834015808018,0.273354918579183,0.25592800685649,0.186553661556042,0.0285210932292163,0.000618988667745929,0.049042948290639,0.0221883630130464,0.00580897057423103,0.000238072564517665,0.00114274830968479
"Plant-Pollinator",0.344,0.2526,0.476301222404671,0.362712565444264,0.79545899019114,NA,0.195238095238095,1,-0.4188,1,4294967316.5,0.3986,0,0.694501100898195,41,1.32258064516129,0,18.0386442745024,34.2222222222222,1,3.71357206670431,31,0.4762,1,-0.354838709677419,0.0117647058823529,0.00918220946915351,0.0375896700143472,0.103586800573888,0.0814921090387375,0.00688665710186514,0.00401721664275466,0.22725968436155,0.260832137733142,0.100717360114778,0.0662840746054519,0.00631276901004304,0.0387374461979914,0.0295552367288379,0.0146341463414634,0.000573888091822095,0.000573888091822095
"Plant-Herbivore",0.5169,0.1053,0.457420178799489,0.172813514639745,0.89663199276343,NA,0.152380952380952,1,-0.5768,1,4294967312,0.304,0,0.648151525453743,32,1.03225806451613,0,19.6867032281699,16.0457516339869,1,3.46573590279973,31,2.1,1,0.354838709677419,0.0453257790368272,0.0977337110481586,0.0212464589235127,0.00708215297450425,0.0963172804532578,0.0028328611898017,0.175637393767705,0.00141643059490085,0.0297450424929178,0.018413597733711,0.0056657223796034,0,0.19971671388102,0.0637393767705382,0.0056657223796034,0,0.229461756373938
"Host-Parasite",0.3862,0.3972,0.405069572389793,0.436338522597211,0.732294297790238,NA,0.2275,1,-0.5637,1,8589934637.5,0.3957,0,0.752880947729916,91,1.82,0,39.7666670268027,27.4675324675325,1,4.51085950651685,50,0.25,1,-0.6,0.00383012753061998,0.00505071762279557,0.0191085483395766,0.0662906687991919,0.0605665221600236,0.00997516730502125,0.00715518329896039,0.17058798770992,0.202828401868766,0.169619933498885,0.101940317353424,0.0193610842207164,0.104886569300055,0.0133002230733617,0.031524895828949,0.00416684203880635,0.00980681005092807
"Host-Parasite",0.394,0.1828,0.597510178361979,0.368571547402667,0.828880959175,NA,0.145061728395062,1,-0.3815,1,8589934615.5,0.3576,0,0.666029826646329,47,1.20512820512821,0,15.1643450503014,25.9392486011191,1,3.85014760171006,39,2.25,1,0.384615384615385,0.0109455053563111,0.0346995808104332,0.00768514205868654,0.00442477876106195,0.0707964601769911,0.00395901257568701,0.103865859338612,0.0016301816488123,0.0549604098742431,0.0207265952491849,0.00791802515137401,0.000698649278062413,0.266185374941779,0.115044247787611,0.0412203074056823,0.00209594783418724,0.253143921751281
"Plant-Pollinator",0.3074,0.2401,0.326351820340031,0.303345684410919,0.73141877359307,NA,0.21304347826087,1,-0.399,1,8589934616.5,0.4074,0,0.715660820121664,49,1.48484848484848,0,31.0976803199883,31.4817034196229,1,3.89182029811063,33,0.4348,1,-0.393939393939394,0.0109767025089606,0.0129928315412186,0.0304659498207885,0.0633960573476702,0.0992383512544803,0.00784050179211469,0.0141129032258065,0.101030465949821,0.237231182795699,0.145609318996416,0.0658602150537634,0.00380824372759857,0.120967741935484,0.0441308243727599,0.0293458781362007,0.00156810035842294,0.0114247311827957
"Plant-Seed Dispersers",0.3893,0.1589,0.37601672210398,0.251723145681301,0.688828797400087,NA,0.121052631578947,1,-0.4712,1,8589934615,0.3333,0,0.644533841467228,46,1.17948717948718,0,10.2663462097842,24.8483049729587,1,3.8286413964891,39,0.95,1,-0.0256410256410256,0.01964972234088,0.0371636052968817,0.0264844083724904,0.02947458351132,0.108500640751815,0.00512601452370782,0.0726185390858607,0.0234942332336608,0.129004698846647,0.0798803929944468,0.0239214011106365,0.000854335753951303,0.21315677061085,0.0939769329346433,0.0286202477573686,0.000854335753951303,0.107219137120889
"Plant-Seed Dispersers",0.3977,0.162,0.661034452446017,0.490686194533144,0.792351055063767,NA,0.171428571428571,1,-0.4243,1,4294967314,0.4169,0,0.670178955233256,36,1.24137931034483,0,10.4033809525587,42.9421768707483,1,3.58351893845611,29,0.9333,1,-0.0344827586206897,0.0116467162730508,0.0164995147201553,0.0284697508896797,0.0779682950501456,0.0870268521514073,0.00420575865415723,0.0197347136848916,0.164995147201553,0.317696538337108,0.0310579100614688,0.0378518278874151,0.00161759948236817,0.121643481074086,0.0488515043675186,0.0139113555483662,0.000323519896473633,0.0164995147201553
"Plant-Seed Dispersers",0.4289,0.2444,0.592296198013656,0.4153516461369,0.844326043227104,NA,0.142389525368249,1,-0.5459,1,8589934635.5,0.3928,0,0.696155981285633,87,1.45,0,8.89938725813577,37.8521191204539,1,4.46590811865458,60,3.6154,1,0.566666666666667,0.0015211119853134,0.0116968266456858,0.001660984351779,0.0022379578634496,0.028324154209284,0.0022904100008742,0.0811434565958563,0.0025002185505726,0.042136550397762,0.00533263397150101,0.00737826733106041,0.000961622519451001,0.22816679779701,0.0684675233849113,0.0501267593321095,0.0036541655739138,0.462400559489466
"Plant-Pollinator",0.3312,0.2597,0.396117383352285,0.326643043392691,0.793833827905424,NA,0.16,1,-0.4758,1,8589934634,0.4067,0,0.707414188445676,84,1.68,0,9.96221458468757,38.2053803339518,1,4.43081679884331,50,0.4286,1,-0.4,0.00294767870302137,0.00445660946766326,0.0149840334070253,0.0704986489805944,0.0516194687160052,0.00452679229392568,0.0067375513211917,0.27101098361231,0.266168368600204,0.0904656630522511,0.0688142611502965,0.00652700284240446,0.0854124995613573,0.0264589255009299,0.0193353686352949,0.001017650980805,0.00901849317472015
"Plant-Pollinator",0.223,0.4099,0.293941064073063,0.333716009779505,0.712797869784788,NA,0.192901234567901,1,-0.3843,1,70368744177664128,0.4308,0,0.770396503086581,250,3.20512820512821,0,14.1673548226618,43.3310467784778,1,5.52146091786225,78,0.4444,1,-0.384615384615385,0.000688648321075393,0.00231661295209762,0.0052585185797317,0.0340577913671046,0.0389196485138969,0.00675977191967606,0.00625568134864887,0.189695066523428,0.255146957551718,0.103038316392585,0.118447511224968,0.0177891634300196,0.106016031732915,0.0439109715450514,0.0494862683524778,0.00889182712172548,0.0133212131228824
"Plant-Pollinator",0.3337,0.3007,0.317191809198612,0.402093891308474,0.673305209007016,NA,0.232323232323232,1,-0.3805,1,8589934615,0.44,0,0.723987910267508,46,1.58620689655172,0,16.5556448714158,40.2844551282051,1,3.8286413964891,29,0.6111,1,-0.241379310344828,0.0111731843575419,0.0206461015302405,0.0242895312120476,0.0369200874423124,0.103959193587564,0.0111731843575419,0.0364342968180714,0.0417779936847219,0.167111974738888,0.118532912314792,0.0534369686665047,0.00242895312120476,0.219091571532669,0.0497935389846976,0.0456643186786495,0.00947291717269857,0.0480932717998543
"Host-Parasite",0.2824,0.3511,0.425939552434141,0.353144723853377,0.759796600723024,NA,0.19047619047619,1,-0.4479,1,8589934632,0.4205,0,0.725470504826965,80,1.81818181818182,0,14.5282389201121,41.7247570764681,1,4.38202663467388,44,0.4667,1,-0.363636363636364,0.00367545713498116,0.00523752641734816,0.0175503078195351,0.0700634016355784,0.0604612698704401,0.00817789212533309,0.00523752641734816,0.226132500229716,0.265919323715887,0.0960213176513829,0.097950932647248,0.0122668381879996,0.0629422034365524,0.0353303317100064,0.0265092345860516,0.00312413856473399,0.00339979784985758
"Plant-Pollinator",0.4149,0.1626,0.445265209808146,0.344310970738516,0.711925947858054,NA,0.285714285714286,1,-0.4314,1,4294967308,0.4386,0,0.717261393244151,24,1.2,0,32.4960784809695,33.2547169811321,1,3.17805383034795,20,0.4286,1,-0.4,0.0305732484076433,0.0229299363057325,0.0598726114649682,0.0840764331210191,0.131210191082803,0.00636942675159236,0.0152866242038217,0.0917197452229299,0.217834394904459,0.135031847133758,0.0394904458598726,0,0.110828025477707,0.0280254777070064,0.0203821656050955,0,0.00636942675159236
"Plant-Pollinator",0.2553,0.3511,0.239248780797969,0.371166425440063,0.658466932241588,NA,0.252895752895753,1,-0.4825,1,17877925793501124,0.4473,0,0.780034661615503,131,2.56862745098039,0,27.796392035932,41.5554392767074,1,4.87519732320115,51,0.3784,1,-0.450980392156863,0.00212410617287954,0.00488057983234154,0.0109123927812819,0.0404553045903394,0.0607721369156681,0.00822077732557197,0.00984223241937314,0.118998589334068,0.223063577254228,0.160734843448511,0.105151362833006,0.0088207157102784,0.132813386733254,0.0397256497981288,0.0490652311384236,0.00719926061647723,0.0172198530961685
"Plant-Pollinator",0.369,0.4159,0.429837719298246,0.410268306213385,0.650268108310036,NA,0.357142857142857,1,-0.5241,1,4294967313.5,0.5047,0,0.775435829813192,35,1.66666666666667,0,14.3832272433553,58.6011904761905,1,3.55534806148941,21,0.5,1,-0.333333333333333,0.0131037064769749,0.0172220142268813,0.0378135529764133,0.0812429801572445,0.0988393859977536,0.0175964058405092,0.0168476226132535,0.136652938974167,0.212280044926994,0.0707600149756645,0.10819917633845,0.0112317484088356,0.0939722950205915,0.0217147135904156,0.0441782104080869,0.00711344065892924,0.0112317484088356
"Plant-Seed Dispersers",0.5812,0.6411,0.444214739992518,0.327812941106851,0.782267312418896,NA,0.409756097560976,1,-0.8857,1,8589934634,0.4321,0,0.832389346668197,84,1.82608695652174,0,37.1473189516463,35.2015782427957,1,4.43081679884331,46,8.2,1,0.782608695652174,0.00197252553716097,0.0181519314312551,0.00157332394035458,0.000657508512386991,0.0213455442057062,0.00953387342961137,0.110367500293531,9.39297874838558e-05,0.00746741810496654,0.0034519196900317,0.00727955852999883,0.00244217447458025,0.104567335916402,0.0907831396031466,0.0914406481155336,0.0442644123517671,0.484607256076083
"Host-Parasite",0.4575,0.1654,0.791644620811288,0.442671026710815,0.869340952205783,NA,0.151851851851852,1,-0.3885,1,4294967316.5,0.3647,0,0.663324789360592,41,1.10810810810811,0,16.8265160260564,27.5420875420875,1,3.71357206670431,37,2.7,1,0.459459459459459,0.00762223461609965,0.0312325711098717,0.00334634690462911,0.000743632645473136,0.0412716118237591,0.00204498977505112,0.13218070273285,0,0.0118981223275702,0.0105967651979922,0.00167317345231456,0,0.241680609778769,0.0407138873396542,0.0269566833984012,0.00185908161368284,0.446179587283882
"Plant-Pollinator",0.3732,0.2765,0.320225512828684,0.430613606271912,0.728567685472114,NA,0.192837465564738,1,-0.4956,1,8589934627,0.389,0,0.720767711591132,70,1.59090909090909,0,19.4408312939875,28.9408233276158,1,4.24849524204936,44,0.3333,1,-0.5,0.00590617617279784,0.00852176847789403,0.0214309821127236,0.0542524468444144,0.0794802564967938,0.00759365507931151,0.0146810664866689,0.102598717516031,0.214900438744516,0.167229159635505,0.0716334795815052,0.00396557543030712,0.170604117448532,0.0174654066824165,0.033327708403645,0.00514681066486669,0.0212622342220722
"Plant-Pollinator",0.3238,0.2348,0.305893755188812,0.399141470299336,0.70274758825078,NA,0.205741626794258,1,-0.1937,1,8589934613.5,0.4143,0,0.704036838262275,43,1.43333333333333,0,23.9770452567424,31.8689422671724,1,3.76120011569356,30,0.5789,1,-0.266666666666667,0.013915857605178,0.0216828478964401,0.0268608414239482,0.0330097087378641,0.118122977346278,0.00906148867313916,0.0330097087378641,0.0262135922330097,0.161812297734628,0.138187702265372,0.0504854368932039,0.00129449838187702,0.240776699029126,0.044336569579288,0.0388349514563107,0.00679611650485437,0.0355987055016181
"Plant-Pollinator",0.4539,0.1277,0.560083394632859,0.348369238076387,0.84916028240571,NA,0.156756756756757,1,-0.491,1,8589934621,0.3546,0,0.686639206351119,58,1.23404255319149,0,23.6233443175399,21.1260282146358,1,4.06044301054642,47,0.2703,1,-0.574468085106383,0.00768822905620361,0.00477200424178155,0.0304878048780488,0.1033934252386,0.0579268292682927,0.00212089077412513,0.00344644750795334,0.289103923647932,0.261532343584305,0.134278897136797,0.0291622481442206,0.000795334040296925,0.0505037115588547,0.0174973488865323,0.00516967126193001,0,0.00212089077412513
"Plant-Seed Dispersers",0.2736,0.3872,0.174593867329042,0.284540589630687,0.665051277036583,NA,0.252380952380952,1,-0.3521,1,68197365785896136,0.4472,0,0.772060006907528,106,2.46511627906977,0,28.2156858144839,39.8379835025798,1,4.66343909411207,43,0.5357,1,-0.302325581395349,0.00341121194567806,0.00736950505245543,0.0140632039647294,0.0430906867477634,0.0713136384115338,0.0112634356696917,0.0119714230546438,0.103269614468688,0.227296131814379,0.129078972774667,0.105940657784643,0.0148999163287636,0.117461543412499,0.0617236274699105,0.0555770097187359,0.00733732380768488,0.0149320975735341
"Plant-Seed Dispersers",0.4471,0.3017,0.656560344889426,0.504407560349701,0.780182260863084,NA,0.311594202898551,1,-0.5895,1,8589934613.5,0.4689,0,0.763346146966971,43,1.48275862068966,0,19.3903069032566,50.4135572139303,1,3.76120011569356,29,3.8333,1,0.586206896551724,0.00536963036963037,0.0277222777222777,0.00374625374625375,0.0014985014985015,0.0450799200799201,0.00487012987012987,0.117257742257742,0.00024975024975025,0.0193556443556444,0.0112387612387612,0.00736763236763237,0.000374625374625375,0.218031968031968,0.0688061938061938,0.0643106893106893,0.0044955044955045,0.400224775224775
"Plant-Seed Dispersers",0.3051,0.2922,0.343351800454214,0.361612654758978,0.726764802265347,NA,0.16017316017316,1,-0.4018,1,8589934629,0.4207,0,0.701494511036837,74,1.72093023255814,0,7.33734006374139,48.8251808659972,1,4.30406509320417,43,0.9545,1,-0.0232558139534884,0.00386382623224728,0.0110693400167084,0.0116959064327485,0.0343567251461988,0.0698099415204678,0.00720551378446115,0.0322159565580618,0.0810881370091896,0.229793233082707,0.0456349206349206,0.0569653299916458,0.00762322472848789,0.221125730994152,0.0446950710108605,0.0573308270676692,0.00464703425229741,0.0808792815371763
"Plant-Seed Dispersers",0.2261,0.3161,0.270525621504621,0.315603823608935,0.725005274158833,NA,0.14384236453202,1,-0.1973,1,131505109119218560,0.3946,0,0.719899318791313,146,2.28125,0,11.13333664608,35.492496736253,1,4.98360662170834,64,1.2069,1,0.09375,0.00205929645406076,0.00802561426274366,0.00638946091568168,0.0175040198595165,0.0624841321334875,0.00722164235944596,0.0274337781037547,0.0408051002849164,0.192304437360715,0.0701289175999323,0.0635278851307512,0.00760247115574487,0.228624220711445,0.100299021128946,0.0789161894552738,0.00779993793901097,0.0788738751445739
"Plant-Herbivore",0.6528,0.0548,0.562125220458554,0.192100909382446,0.831280985069972,NA,0.198924731182796,1,-0.8566,1,4294967314.5,0.3001,0,0.690986023262099,37,1,0,42.6435842221513,12.2378472222222,1,3.61091791264422,37,5.1667,1,0.675675675675676,0.0323144104803493,0.102183406113537,0.00524017467248908,0,0.0602620087336245,0.000873362445414847,0.197379912663755,0,0,0.00524017467248908,0,0,0.165065502183406,0.170305676855895,0.011353711790393,0,0.249781659388646
"Plant-Pollinator",0.566,0.1859,0.77315720666965,0.399662785370692,0.897955900001234,NA,0.164141414141414,1,-0.4705,1,8589934624.5,0.3715,0,0.697893027043874,65,1.22641509433962,0,17.7836134598921,21.7832088707852,1,4.17438726989564,53,0.2045,1,-0.660377358490566,0.00218113486124627,0.000973121707325258,0.0156706150800309,0.114694137780611,0.0135230361397269,0.000771786181671756,0.000302003288480252,0.692527096406161,0.114727693701554,0.027213851884165,0.00909365457534982,0.000503338814133754,0.00442938156437703,0.00255024999161102,0.000738230260729506,6.71118418845005e-05,3.35559209422503e-05
"Plant-Pollinator",0.3524,0.2405,0.446476600322754,0.389275166757955,0.720693592926894,NA,0.204545454545455,1,-0.3721,1,4294967314,0.4116,0,0.693072242732988,36,1.33333333333333,0,16.0051436616791,37.3238095238095,1,3.58351893845611,27,0.6875,1,-0.185185185185185,0.0184710107747563,0.0271934325295023,0.0333504361210877,0.0405336069779374,0.123140071831709,0.00974858902001026,0.0379681888147768,0.0312981015905593,0.169830682401231,0.115443817342227,0.0410466906105695,0.0025654181631606,0.220625962031811,0.0395074397126732,0.0466906105695228,0.00307850179579271,0.0395074397126732
