"community","average_clustering","bipartite_clustering","cent_between","cent_close","cent_eigen","compartment.diversity","connectance","connected_components","degree_assortativity_coefficient","edge_connectivity","Fisher.alpha","global_efficiency","H2","interaction.evenness","interactions_count","links.per.species","local_efficiency","nestedness","NODF","number.of.compartments","Shannon.diversity","network_size","species_ratio","Spectral_bipartivity","web.asymmetry","motif_1_norm","motif_2_norm","motif_3_norm","motif_4_norm","motif_5_norm","motif_6_norm","motif_7_norm","motif_8_norm","motif_9_norm","motif_10_norm","motif_11_norm","motif_12_norm","motif_13_norm","motif_14_norm","motif_15_norm","motif_16_norm","motif_17_norm"
"Plant-Seed Dispersers",0.2828,0.5089,0.271625593930563,0.472634987125801,0.630885729147888,NA,0.28695652173913,1,-0.2837,1,594475150812905600,0.4904,0,0.79638257222463,132,3.06976744186047,0,12.6817806061115,62.1912774960179,1,4.88280192258637,43,0.8696,1,-0.0697674418604651,0.00185395862301437,0.00837090408573154,0.0070927962471383,0.019438475259484,0.057683394429697,0.0149440301127825,0.0319386508237475,0.0410820376690684,0.135198528069214,0.0632593154398236,0.0996221857048554,0.0204216351353249,0.216210901838509,0.0356044326465259,0.115661736822146,0.0300566019185663,0.10156041517437
"Plant-Pollinator",0.265,0.3023,0.291874161754823,0.268524244128058,0.803912286505781,NA,0.105603448275862,1,-0.0988,1,8589934641,0.3288,0,0.671000466260242,98,1.60655737704918,0,10.8741989675508,22.4352849047971,1,4.58496747867057,61,0.9062,1,-0.0491803278688525,0.00549913023960496,0.0101565568711071,0.0159362549800797,0.044890859098816,0.0808035463778688,0.00875371752426912,0.0146456427809887,0.104202906683127,0.249929858032658,0.107738061837158,0.0805790920823747,0.00920262611525728,0.134448123000954,0.0675607429437181,0.0450591998204366,0.00493799450086976,0.0156556871107121
"Plant-Seed Dispersers",0.3964,0.3531,0.511888368863659,0.406060741734987,0.73672630891252,NA,0.292207792207792,1,-0.5937,1,8589934614.5,0.4532,0,0.755747133285754,45,1.55172413793103,0,20.4376517860346,48.5015117157974,1,3.80666248977032,29,3.1429,1,0.517241379310345,0.00729217306757414,0.0312753200453735,0.00664397990601199,0.00437530384054448,0.0653054610273862,0.0089126559714795,0.1027386161076,0.0017825311942959,0.0473181007940366,0.0149084427159293,0.0152325392967104,0.00259277264624858,0.226867606546751,0.100145843461351,0.0923675255226057,0.00875060768108897,0.263490520175012
"Plant-Pollinator",0.4279,0.3478,0.408437869822485,0.267211958417717,0.652185086082743,NA,0.293650793650794,1,-0.6738,1,4294967314.5,0.4121,0,0.746630982667498,37,1.37037037037037,0,43.7152975228298,31.7407407407407,1,3.61091791264422,27,0.2857,1,-0.555555555555556,0.0168181818181818,0.0104545454545455,0.0540909090909091,0.112272727272727,0.0886363636363636,0.0118181818181818,0.00409090909090909,0.159090909090909,0.187727272727273,0.186818181818182,0.0827272727272727,0.00954545454545455,0.0390909090909091,0.0190909090909091,0.0159090909090909,0.000909090909090909,0.000909090909090909
"Plant-Pollinator",0.3095,0.3708,0.284545417513221,0.407283430600673,0.671212160023825,NA,0.285714285714286,1,-0.3611,1,8589934618,0.4903,0,0.759269531377356,52,1.92592592592593,0,15.3846230985772,54.585798816568,1,3.95124371858143,27,0.9286,1,-0.037037037037037,0.00789913413337384,0.0145830168616132,0.0227859638462707,0.0568130031900349,0.09175148108765,0.0135196718821206,0.0182287710770166,0.110132158590308,0.252316572991038,0.0569649096156767,0.0794470606106638,0.0177730518000911,0.111651222846726,0.070788394349081,0.0554458453592587,0.00349384778976151,0.0164058939693149
"Plant-Seed Dispersers",0.3801,0.6347,0.143663571804861,0.404226923988601,0.535461868815115,NA,0.42962962962963,1,-0.3617,1,130604389193744448,0.5496,0,0.849094660231155,116,3.51515151515152,0,20.1071559947424,69.8251377175796,1,4.75359019110636,33,1.2,1,0.0909090909090909,0.00239570425444031,0.012453531598513,0.00762081784386617,0.0152829409334986,0.0560099132589839,0.0243287897562991,0.0478108219743907,0.0210450227178852,0.0749896736885585,0.0462825278810409,0.0963444857496902,0.0304832713754647,0.184365964477489,0.0324039653035936,0.145208591491119,0.0649318463444857,0.138042131350682
"Plant-Seed Dispersers",0.2445,0.3721,0.258178291811644,0.3324496334653,0.760042809197071,NA,0.168979591836735,1,-0.5009,1,17927790824340346,0.4275,0,0.749957346093335,207,2.7972972972973,0,12.2455975705832,44.5771426429878,1,5.33271879326537,74,1.96,1,0.324324324324324,0.000869601747605444,0.00672576037640733,0.00224752142497059,0.00455805746933288,0.0387875987229037,0.00574693328852294,0.0438245672996135,0.00743992606284658,0.0814316921525794,0.040690640228533,0.0339102671819862,0.0036758527978491,0.276390522601243,0.106053604436229,0.103205343639724,0.0173794320282306,0.227062678541422
"Plant-Seed Dispersers",0.3057,0.4351,0.182203973381188,0.414339862430983,0.632309403784157,NA,0.269592476489028,1,-0.4658,1,8589934635,0.4419,0,0.772627865553643,86,2.15,0,24.0154268378561,45.1764937882075,1,4.45434729625351,40,2.6364,1,0.45,0.00390429926907886,0.0163889771643892,0.00821718799654969,0.0158895900485767,0.0735461025105552,0.0141644345575884,0.0453988287102193,0.0246969628183593,0.162210014981613,0.0156625959050256,0.0570663276887456,0.0141190357288782,0.182003904299269,0.139510600626504,0.121714259772098,0.0173423525673038,0.0881645253552458
"Plant-Herbivore",0.4003,0.3128,0.467288699070591,0.367041809905788,0.766780396742013,NA,0.201058201058201,1,-0.4183,1,4294967315,0.3928,0,0.693964464380965,38,1.26666666666667,0,21.0249657501025,30.0813008130081,1,3.63758615972639,30,0.4286,1,-0.4,0.0150554675118859,0.0134706814580032,0.0419968304278922,0.0891442155309033,0.0974643423137876,0.0110935023771791,0.0103011093502377,0.146592709984152,0.23811410459588,0.112123613312203,0.0752773375594295,0.00713153724247227,0.088351822503962,0.0229793977812995,0.0217908082408875,0.00475435816164818,0.0043581616481775
"Plant-Herbivore",0.3265,0.1429,0.450526315789474,0.23504421092358,0.738516487277042,NA,0.203703703703704,1,-0.1159,1,4294967307,0.3511,0,0.660178517733866,22,1.04761904761905,0,38.5688981176633,21.5686274509804,1,3.09104245335832,21,1.3333,1,0.142857142857143,0.0912863070539419,0.0871369294605809,0.0622406639004149,0.024896265560166,0.199170124481328,0.00829875518672199,0.04149377593361,0.004149377593361,0.112033195020747,0.0622406639004149,0.016597510373444,0,0.112033195020747,0.145228215767635,0.024896265560166,0,0.00829875518672199
