"fraction","metric","avg_fixed_value","avg_lower_bound","avg_upper_bound","ci_lower_fixed","ci_upper_fixed","ci_lower_lower_bound","ci_upper_lower_bound","ci_lower_upper_bound","ci_upper_upper_bound"
0.05,"roc_auc",0.775468348779233,0.614369829182983,0.853536298259252,0.768145552545174,0.782791145013291,0.608592407546691,0.620147250819274,0.847399543146868,0.859673053371636
0.05,"pr_auc",0.372226399167872,0.415028587464206,0.415028587464206,0.369184233649421,0.375268564686324,0.412268614677993,0.417788560250418,0.412268614677993,0.417788560250418
0.05,"precision",0.180036319875653,0.180095327369605,0.484537756944067,0.17271601835221,0.187356621399096,0.172765235065605,0.187425419673604,0.467801320849818,0.501274193038316
0.05,"recall",0.551005823098974,0.320410639642567,0.757694077242609,0.532319279107984,0.569692367089964,0.305747590860007,0.335073688425128,0.747760528283087,0.767627626202132
0.05,"specificity",0.801058840260075,0.790739963072166,0.842763745702953,0.789201319932894,0.812916360587256,0.778323405223145,0.803156520921188,0.830317388003328,0.855210103402577
0.05,"f1",0.263740668477281,0.220788401534015,0.562479115222915,0.254404107270782,0.273077229683779,0.212343548708427,0.229233254359604,0.55135455109762,0.57360367934821
0.05,"mcc",0.22169741830214,0.093309219907945,0.510669794116861,0.21156494070488,0.2318298958994,0.0847080573689256,0.101910382446964,0.497001125363888,0.524338462869834
0.1,"roc_auc",0.775468348779233,0.553027711923436,0.872939235162173,0.768145552545174,0.782791145013291,0.548408513238092,0.557646910608779,0.866816250266578,0.879062220057769
0.1,"pr_auc",0.372226399167872,0.456111762088971,0.456111762088971,0.369184233649421,0.375268564686324,0.453578771346927,0.458644752831016,0.453578771346927,0.458644752831016
0.1,"precision",0.180036319875653,0.180265328906324,0.706473597217796,0.17271601835221,0.187356621399096,0.172913372303232,0.187617285509416,0.686785472573102,0.72616172186249
0.1,"recall",0.551005823098974,0.232599317943369,0.786514306645269,0.532319279107984,0.569692367089964,0.220239414234193,0.244959221652545,0.77476824670053,0.798260366590008
0.1,"specificity",0.801058840260075,0.779316977341828,0.882626098877642,0.789201319932894,0.812916360587256,0.766306336315033,0.792327618368622,0.870016142031414,0.89523605572387
0.1,"f1",0.263740668477281,0.192195721791515,0.704884200871021,0.254404107270782,0.273077229683779,0.184252996938324,0.200138446644707,0.69394002312286,0.715828378619181
0.1,"mcc",0.22169741830214,0.0145878588912166,0.656066838475488,0.21156494070488,0.2318298958994,0.00635508350694641,0.0228206342754868,0.641945135687623,0.670188541263354
