"feature","level","package","type","var_type","reference"
"Fisher alpha LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"generality HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"hits authorities HL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.link_analysis.hits_alg.hits.html}"
"hits authorities LL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.link_analysis.hits_alg.hits.html}"
"hits hubs HL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.link_analysis.hits_alg.hits.html}"
"hits hubs LL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.link_analysis.hits_alg.hits.html}"
"interaction push pull HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"interaction push pull LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"isolate HL","node","NetworkX","topology","boolean","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.isolate.isolates.html}"
"isolate LL","node","NetworkX","topology","boolean","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.isolate.isolates.html}"
"latapy clustering HL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.bipartite.cluster.latapy_clustering.html?highlight=latapy_clustering}"
"latapy clustering LL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.bipartite.cluster.latapy_clustering.html?highlight=latapy_clustering}"
"nestedrank HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"nestedrank LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"niche overlap HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"niche overlap LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"node specialisation index NSI HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"node specialisation index NSI LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"node redundancy HL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.bipartite.redundancy.node_redundancy.html?highlight=node_redundancy}"
"node redundancy LL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.bipartite.redundancy.node_redundancy.html?highlight=node_redundancy}"
"pagerank HL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.link_analysis.pagerank_alg.pagerank.html}"
"pagerank LL","node","NetworkX","topology","numeric","\url{https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.link_analysis.pagerank_alg.pagerank.html}"
"PDI HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"PDI LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"robustness HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"robustness LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"species specificity index HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"species specificity index LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"species strength HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"species strength LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/specieslevel}"
"V ratio HL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"V ratio LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
"vulnerability LL","node","bipartite","topology","numeric","\url{https://www.rdocumentation.org/packages/bipartite/versions/2.17/topics/networklevel}"
