network,community,net_size,connectance,connectance_filtered,net_size_filtered
M_PL_percival1974,Plant-Pollinator,95,0.085824493731919,True,False
M_PL_Kaiser-Bunbury_2014_061_12,Plant-Pollinator,19,0.2857142857142857,False,True
A_HP_Bangham1955,Host-Parasite,130,0.09871915026554202,True,False
M_SD_Chaves_2018_forest_edge,Plant-Seed Dispersers,16,0.2833333333333333,False,True
M_PL_Magrach2017_UK_2011_high,Plant-Pollinator,89,0.07633973710819009,True,False
M_PL_Inoue1990,Plant-Pollinator,997,0.019073731894856054,True,False
M_PL_Kakutani1990,Plant-Pollinator,414,0.023370497427101202,True,False
M_SD_Milton_2001,Plant-Seed Dispersers,13,0.35714285714285715,False,True
M_PL_Brosi2017_Belleview_Bench_2013_Manipulation,Plant-Pollinator,18,0.3950617283950617,False,True
M_PL_Gilarranz_2015_CincoCerros,Plant-Pollinator,94,0.08568548387096774,True,False
M_PL_Arroyo1982-2,Plant-Pollinator,103,0.07592446892210858,True,False
M_SD_Hernandez-Montero_2015_B4_Norte,Plant-Seed Dispersers,12,0.3888888888888889,False,True
M_PL_Philipp2006,Plant-Pollinator,16,0.43636363636363634,False,True
M_PL_Sabatino_3,Plant-Pollinator,115,0.08316008316008316,True,False
