feature,model,importance,fold
betweenness_centrality_HL,RandomForestClassifier,0.06960498513990529,1
degree_centrality_HL,RandomForestClassifier,0.06401480900896798,1
betweenness_centrality_LL,RandomForestClassifier,0.05100798627764339,1
species.specificity.index_HL,RandomForestClassifier,0.049789784520973025,1
degree_centrality_LL,RandomForestClassifier,0.049605416678027335,1
pagerank_HL,RandomForestClassifier,0.0479763908577638,1
shortest_paths_count,RandomForestClassifier,0.03988693981346971,1
species.strength_LL,RandomForestClassifier,0.03907987511902734,1
Fisher.alpha_HL,RandomForestClassifier,0.03680041643066271,1
preferential_attachment,RandomForestClassifier,0.03668092153765172,1
Fisher.alpha_LL,RandomForestClassifier,0.03600416973805519,1
closeness_centrality_HL,RandomForestClassifier,0.030071298381195342,1
shortest_path_length,RandomForestClassifier,0.02920162068764116,1
nestedrank_LL,RandomForestClassifier,0.027059401134729388,1
PDI_LL,RandomForestClassifier,0.02691880457312442,1
PDI_HL,RandomForestClassifier,0.02676232541918937,1
interaction.push.pull_LL,RandomForestClassifier,0.024739406253078897,1
betweenness_HL,RandomForestClassifier,0.01965947667669155,1
closeness_centrality_LL,RandomForestClassifier,0.019558013742198156,1
degree_LL,RandomForestClassifier,0.019413331202365464,1
node.specialisation.index.NSI_LL,RandomForestClassifier,0.015262171936230575,1
nestedrank_HL,RandomForestClassifier,0.014282540497620663,1
species.strength_HL,RandomForestClassifier,0.013656876749445787,1
node_redundancy_HL,RandomForestClassifier,0.011635680095454608,1
degree_HL,RandomForestClassifier,0.009814505513313214,1
pagerank_LL,RandomForestClassifier,0.009733070435180364,1
friends_measure,RandomForestClassifier,0.009718127838552299,1
interaction.push.pull_HL,RandomForestClassifier,0.009479826667418863,1
hits_hubs_LL,RandomForestClassifier,0.009416732829516166,1
betweenness_LL,RandomForestClassifier,0.0074782730571979995,1
average_neighbor_degree_HL,RandomForestClassifier,0.005811867425672123,1
d_LL,RandomForestClassifier,0.005707590778536305,1
hits_hubs_HL,RandomForestClassifier,0.0054528737738113,1
closeness_LL,RandomForestClassifier,0.0052290703113423405,1
latapy_clustering_HL,RandomForestClassifier,0.004035551887977613,1
average_neighbor_degree_LL,RandomForestClassifier,0.0035337427191992365,1
node.specialisation.index.NSI_HL,RandomForestClassifier,0.003253352313959941,1
motif_14_norm,RandomForestClassifier,0.0019554090308355303,1
motif_8_norm,RandomForestClassifier,0.001702484367113404,1
d_HL,RandomForestClassifier,0.0015398344403555005,1
NODF,RandomForestClassifier,0.0011023076205859234,1
node_redundancy_LL,RandomForestClassifier,0.001015463511703145,1
connectance,RandomForestClassifier,0.0009570269933160515,1
hits_authorities_LL,RandomForestClassifier,0.0005560650456802841,1
latapy_clustering_LL,RandomForestClassifier,0.0005500847985635016,1
robustness.HL,RandomForestClassifier,0.00046447145852082856,1
motif_15_norm,RandomForestClassifier,0.0002990793940687411,1
motif_12_norm,RandomForestClassifier,0.00018406924026670887,1
motif_4_norm,RandomForestClassifier,0.0001308275616980254,1
nestedness,RandomForestClassifier,0.00011161860585730257,1
motif_9,RandomForestClassifier,4.349119524177615e-05,1
community_Plant-Pollinator,RandomForestClassifier,3.723067513734544e-05,1
cent_between,RandomForestClassifier,0.0,1
cent_close,RandomForestClassifier,0.0,1
cent_eigen,RandomForestClassifier,0.0,1
community_Plant-Seed Dispersers,RandomForestClassifier,0.0,1
edge_connectivity,RandomForestClassifier,0.0,1
closeness_HL,RandomForestClassifier,0.0,1
motif_11_norm,RandomForestClassifier,0.0,1
motif_10_norm,RandomForestClassifier,0.0,1
motif_9_norm,RandomForestClassifier,0.0,1
motif_5_norm,RandomForestClassifier,0.0,1
motif_2_norm,RandomForestClassifier,0.0,1
robustness.LL,RandomForestClassifier,0.0,1
V.ratio.HL,RandomForestClassifier,0.0,1
niche.overlap.LL,RandomForestClassifier,0.0,1
compartment diversity,RandomForestClassifier,0.0,1
hits_authorities_HL,RandomForestClassifier,0.0,1
motif_3_norm,RandomForestClassifier,0.0,1
species.specificity.index_LL,LogisticRegression,-7.862787738952364,1
species.specificity.index_HL,LogisticRegression,-7.6493050811063075,1
preferential_attachment,LogisticRegression,-6.017878520757593,1
shortest_path_length,LogisticRegression,-1.0977933744626138,1
interaction.push.pull_LL,LogisticRegression,1.9407701470695806,1
interaction.push.pull_HL,LogisticRegression,2.057420602383613,1
degree_centrality_LL,LogisticRegression,5.784789790849719,1
PDI_LL,LogisticRegression,5.828904406002271,1
PDI_HL,LogisticRegression,6.826657858442497,1
degree_centrality_HL,LogisticRegression,7.29839598070006,1
shortest_path_length,XGBClassifier,0.09704981744289398,1
shortest_paths_count,XGBClassifier,0.0746854767203331,1
PDI_HL,XGBClassifier,0.058245208114385605,1
degree_centrality_HL,XGBClassifier,0.05712520331144333,1
degree_centrality_LL,XGBClassifier,0.05542157217860222,1
preferential_attachment,XGBClassifier,0.05252990499138832,1
Fisher.alpha_HL,XGBClassifier,0.03747335821390152,1
degree_LL,XGBClassifier,0.03291264921426773,1
closeness_centrality_HL,XGBClassifier,0.03273214399814606,1
closeness_LL,XGBClassifier,0.032643526792526245,1
PDI_LL,XGBClassifier,0.03144105151295662,1
Fisher.alpha_LL,XGBClassifier,0.029342474415898323,1
pagerank_LL,XGBClassifier,0.026410331949591637,1
degree_HL,XGBClassifier,0.025595076382160187,1
betweenness_HL,XGBClassifier,0.025559213012456894,1
node.specialisation.index.NSI_HL,XGBClassifier,0.025102457031607628,1
interaction.push.pull_HL,XGBClassifier,0.02417152002453804,1
nestedrank_HL,XGBClassifier,0.022907814010977745,1
node.specialisation.index.NSI_LL,XGBClassifier,0.021239686757326126,1
node_redundancy_HL,XGBClassifier,0.01964564248919487,1
closeness_centrality_LL,XGBClassifier,0.0190811138600111,1
species.specificity.index_HL,XGBClassifier,0.018119340762495995,1
latapy_clustering_LL,XGBClassifier,0.01589677296578884,1
nestedrank_LL,XGBClassifier,0.015242115594446659,1
betweenness_centrality_HL,XGBClassifier,0.015239331871271133,1
species.specificity.index_LL,XGBClassifier,0.010996303521096706,1
closeness_HL,XGBClassifier,0.010249643586575985,1
species.strength_HL,XGBClassifier,0.009781919419765472,1
latapy_clustering_HL,XGBClassifier,0.008804666809737682,1
friends_measure,XGBClassifier,0.008464799262583256,1
betweenness_centrality_LL,XGBClassifier,0.008311554789543152,1
average_neighbor_degree_LL,XGBClassifier,0.007711533922702074,1
betweenness_LL,XGBClassifier,0.007261316757649183,1
pagerank_HL,XGBClassifier,0.0071931276470422745,1
d_LL,XGBClassifier,0.006989921908825636,1
hits_authorities_HL,XGBClassifier,0.006773923523724079,1
average_neighbor_degree_HL,XGBClassifier,0.0063295140862464905,1
hits_hubs_HL,XGBClassifier,0.005543004255741835,1
node_redundancy_LL,XGBClassifier,0.005384803283959627,1
d_HL,XGBClassifier,0.004686944652348757,1
compartment diversity,XGBClassifier,0.004678547848016024,1
interaction.push.pull_LL,XGBClassifier,0.004168987274169922,1
hits_authorities_LL,XGBClassifier,0.003857896663248539,1
species.strength_LL,XGBClassifier,0.0033927052281796932,1
motif_13_norm,XGBClassifier,0.0014373990707099438,1
cent_eigen,XGBClassifier,0.0008859702502377331,1
motif_8_norm,XGBClassifier,0.0007927943952381611,1
hits_hubs_LL,XGBClassifier,0.0004899315536022186,1
community_Plant-Seed Dispersers,XGBClassifier,0.0,1
community_Plant-Pollinator,XGBClassifier,0.0,1
PDI_HL,RandomForestClassifier,0.16,2
degree_centrality_LL,RandomForestClassifier,0.14,2
degree_centrality_HL,RandomForestClassifier,0.1,2
species.specificity.index_LL,RandomForestClassifier,0.1,2
PDI_LL,RandomForestClassifier,0.08,2
betweenness_centrality_LL,RandomForestClassifier,0.04,2
species.specificity.index_HL,RandomForestClassifier,0.04,2
nestedrank_LL,RandomForestClassifier,0.04,2
nestedrank_HL,RandomForestClassifier,0.04,2
Fisher.alpha_LL,RandomForestClassifier,0.04,2
closeness_centrality_HL,RandomForestClassifier,0.04,2
friends_measure,RandomForestClassifier,0.02,2
species.strength_LL,RandomForestClassifier,0.02,2
pagerank_HL,RandomForestClassifier,0.02,2
betweenness_HL,RandomForestClassifier,0.02,2
betweenness_LL,RandomForestClassifier,0.02,2
degree_HL,RandomForestClassifier,0.02,2
hits_hubs_LL,RandomForestClassifier,0.02,2
pagerank_LL,RandomForestClassifier,0.02,2
degree_LL,RandomForestClassifier,0.02,2
closeness_HL,RandomForestClassifier,0.0,2
species.strength_HL,RandomForestClassifier,0.0,2
motif_17_norm,RandomForestClassifier,0.0,2
motif_16_norm,RandomForestClassifier,0.0,2
motif_14_norm,RandomForestClassifier,0.0,2
node.specialisation.index.NSI_HL,RandomForestClassifier,0.0,2
interaction.push.pull_HL,RandomForestClassifier,0.0,2
edge_connectivity,RandomForestClassifier,0.0,2
Fisher.alpha_HL,RandomForestClassifier,0.0,2
d_HL,RandomForestClassifier,0.0,2
interaction.push.pull_LL,RandomForestClassifier,0.0,2
motif_9_norm,RandomForestClassifier,0.0,2
node.specialisation.index.NSI_LL,RandomForestClassifier,0.0,2
closeness_LL,RandomForestClassifier,0.0,2
d_LL,RandomForestClassifier,0.0,2
cent_between,RandomForestClassifier,0.0,2
cent_close,RandomForestClassifier,0.0,2
cent_eigen,RandomForestClassifier,0.0,2
community_Plant-Seed Dispersers,RandomForestClassifier,0.0,2
motif_10_norm,RandomForestClassifier,0.0,2
motif_2_norm,RandomForestClassifier,0.0,2
motif_8_norm,RandomForestClassifier,0.0,2
shortest_path_length,RandomForestClassifier,0.0,2
latapy_clustering_LL,RandomForestClassifier,0.0,2
node_redundancy_LL,RandomForestClassifier,0.0,2
closeness_centrality_LL,RandomForestClassifier,0.0,2
average_neighbor_degree_LL,RandomForestClassifier,0.0,2
hits_authorities_LL,RandomForestClassifier,0.0,2
latapy_clustering_HL,RandomForestClassifier,0.0,2
node_redundancy_HL,RandomForestClassifier,0.0,2
betweenness_centrality_HL,RandomForestClassifier,0.0,2
average_neighbor_degree_HL,RandomForestClassifier,0.0,2
hits_hubs_HL,RandomForestClassifier,0.0,2
hits_authorities_HL,RandomForestClassifier,0.0,2
preferential_attachment,RandomForestClassifier,0.0,2
shortest_paths_count,RandomForestClassifier,0.0,2
motif_7_norm,RandomForestClassifier,0.0,2
same_community_infomap,RandomForestClassifier,0.0,2
compartment diversity,RandomForestClassifier,0.0,2
nestedness,RandomForestClassifier,0.0,2
NODF,RandomForestClassifier,0.0,2
niche.overlap.HL,RandomForestClassifier,0.0,2
V.ratio.LL,RandomForestClassifier,0.0,2
robustness.HL,RandomForestClassifier,0.0,2
motif_9,RandomForestClassifier,0.0,2
motif_13,RandomForestClassifier,0.0,2
motif_1_norm,RandomForestClassifier,0.0,2
motif_5_norm,RandomForestClassifier,0.0,2
motif_6_norm,RandomForestClassifier,0.0,2
community_Plant-Pollinator,RandomForestClassifier,0.0,2
species.specificity.index_HL,LogisticRegression,-11.521859007686762,2
preferential_attachment,LogisticRegression,-6.731644207542953,2
interaction.push.pull_LL,LogisticRegression,-5.540323964271683,2
species.specificity.index_LL,LogisticRegression,-5.376754231811902,2
shortest_path_length,LogisticRegression,-1.479351286684343,2
PDI_LL,LogisticRegression,0.8103279151330701,2
degree_centrality_LL,LogisticRegression,3.17308756094611,2
species.strength_LL,LogisticRegression,7.273915425971356,2
degree_centrality_HL,LogisticRegression,8.70117407852659,2
PDI_HL,LogisticRegression,9.64535307871587,2
preferential_attachment,XGBClassifier,0.217227503657341,2
degree_centrality_HL,XGBClassifier,0.1431293934583664,2
PDI_LL,XGBClassifier,0.13171252608299255,2
shortest_path_length,XGBClassifier,0.1247691661119461,2
interaction.push.pull_LL,XGBClassifier,0.11376573890447617,2
PDI_HL,XGBClassifier,0.0906415581703186,2
species.specificity.index_HL,XGBClassifier,0.05811947584152222,2
species.specificity.index_LL,XGBClassifier,0.04688500612974167,2
species.strength_LL,XGBClassifier,0.046611905097961426,2
degree_centrality_LL,XGBClassifier,0.02713778428733349,2
PDI_LL,RandomForestClassifier,0.26666666666666666,3
degree_centrality_LL,RandomForestClassifier,0.2,3
PDI_HL,RandomForestClassifier,0.2,3
betweenness_centrality_HL,RandomForestClassifier,0.06666666666666667,3
species.specificity.index_LL,RandomForestClassifier,0.06666666666666667,3
closeness_centrality_HL,RandomForestClassifier,0.06666666666666667,3
preferential_attachment,RandomForestClassifier,0.06666666666666667,3
species.specificity.index_HL,RandomForestClassifier,0.06666666666666667,3
node_redundancy_LL,RandomForestClassifier,0.0,3
d_HL,RandomForestClassifier,0.0,3
closeness_LL,RandomForestClassifier,0.0,3
interaction.push.pull_LL,RandomForestClassifier,0.0,3
species.strength_LL,RandomForestClassifier,0.0,3
interaction.push.pull_HL,RandomForestClassifier,0.0,3
betweenness_centrality_LL,RandomForestClassifier,0.0,3
species.strength_HL,RandomForestClassifier,0.0,3
shortest_path_length,RandomForestClassifier,0.0,3
degree_centrality_HL,RandomForestClassifier,0.0,3
closeness_centrality_LL,RandomForestClassifier,0.0,3
d_LL,RandomForestClassifier,0.0,3
preferential_attachment,LogisticRegression,-23.5459897846547,3
interaction.push.pull_LL,LogisticRegression,-2.6945358091530647,3
interaction.push.pull_HL,LogisticRegression,-2.4872820850090527,3
average_neighbor_degree_HL,LogisticRegression,-2.362793374036664,3
average_neighbor_degree_LL,LogisticRegression,-2.2268100150974792,3
closeness_HL,LogisticRegression,-2.1401550313225655,3
shortest_path_length,LogisticRegression,-1.6823861519853305,3
edge_connectivity,LogisticRegression,-1.2298647913588672,3
species.strength_HL,LogisticRegression,-1.1840907340522482,3
closeness_LL,LogisticRegression,-0.9588991808774453,3
PDI_HL,LogisticRegression,-0.9428891124408955,3
pagerank_HL,LogisticRegression,-0.5998164713823418,3
species.strength_LL,LogisticRegression,-0.5054838071339672,3
